iter	Passed	Remaining
0	18	18730
1	32	16180
2	50	16738
3	64	15937
4	77	15495
5	91	15145
6	105	14921
7	119	14786
8	132	14628
9	146	14503
10	160	14448
11	174	14373
12	187	14240
13	201	14198
14	215	14128
15	229	14089
16	242	14010
17	255	13931
18	272	14059
19	284	13964
20	296	13837
21	308	13712
22	320	13606
23	332	13506
24	344	13438
25	358	13422
26	372	13426
27	386	13411
28	400	13404
29	414	13399
30	427	13364
31	440	13337
32	453	13300
33	466	13259
34	480	13236
35	493	13218
36	507	13202
37	521	13190
38	534	13169
39	547	13128
40	559	13090
41	572	13048
42	585	13020
43	597	12980
44	609	12935
45	621	12890
46	634	12859
47	647	12838
48	660	12825
49	673	12803
50	686	12777
51	699	12761
52	713	12754
53	727	12741
54	741	12733
55	753	12708
56	771	12759
57	784	12738
58	797	12723
59	811	12706
60	824	12693
61	837	12666
62	850	12648
63	864	12645
64	876	12614
65	889	12587
66	901	12558
67	914	12535
68	927	12510
69	940	12492
70	952	12463
71	964	12430
72	976	12395
73	988	12363
74	999	12329
75	1011	12297
76	1023	12270
77	1035	12235
78	1046	12204
79	1058	12167
80	1069	12135
81	1081	12104
82	1092	12075
83	1104	12044
84	1116	12019
85	1129	12001
86	1140	11969
87	1152	11942
88	1164	11916
89	1175	11883
90	1186	11855
91	1198	11827
92	1209	11799
93	1221	11776
94	1233	11754
95	1245	11727
96	1261	11740
97	1273	11718
98	1286	11704
99	1298	11685
100	1310	11660
101	1321	11638
102	1333	11614
103	1346	11597
104	1359	11591
105	1371	11565
106	1383	11544
107	1394	11520
108	1406	11496
109	1417	11472
110	1429	11451
111	1441	11428
112	1452	11404
113	1464	11380
114	1475	11355
115	1487	11332
116	1498	11309
117	1510	11290
118	1521	11267
119	1533	11248
120	1545	11229
121	1558	11214
122	1570	11196
123	1581	11175
124	1593	11157
125	1606	11141
126	1617	11120
127	1629	11101
128	1642	11090
129	1654	11075
130	1666	11056
131	1678	11035
132	1689	11015
133	1701	10996
134	1713	10977
135	1724	10955
136	1736	10936
137	1747	10917
138	1763	10925
139	1775	10906
140	1787	10888
141	1799	10872
142	1811	10855
143	1823	10837
144	1834	10818
145	1848	10809
146	1860	10797
147	1872	10781
148	1885	10766
149	1897	10754
150	1909	10738
151	1921	10721
152	1933	10705
153	1945	10687
154	1956	10668
155	1968	10650
156	1979	10631
157	1991	10611
158	2002	10593
159	2014	10576
160	2026	10559
161	2037	10540
162	2049	10522
163	2060	10504
164	2072	10487
165	2084	10470
166	2095	10453
167	2107	10436
168	2118	10418
169	2130	10401
170	2142	10385
171	2154	10369
172	2165	10351
173	2176	10332
174	2187	10313
175	2198	10294
176	2210	10277
177	2221	10260
178	2233	10244
179	2245	10230
180	2259	10225
181	2271	10207
182	2283	10192
183	2294	10175
184	2306	10159
185	2317	10142
186	2328	10125
187	2340	10110
188	2353	10099
189	2365	10083
190	2376	10067
191	2388	10051
192	2399	10033
193	2411	10017
194	2422	10001
195	2434	9984
196	2445	9967
197	2456	9949
198	2468	9934
199	2479	9916
200	2490	9901
201	2502	9886
202	2514	9874
203	2526	9858
204	2538	9842
205	2549	9828
206	2561	9811
207	2572	9795
208	2583	9779
209	2595	9764
210	2607	9750
211	2619	9736
212	2630	9719
213	2641	9702
214	2653	9687
215	2664	9672
216	2676	9659
217	2688	9643
218	2700	9629
219	2711	9613
220	2723	9598
221	2734	9584
222	2749	9579
223	2760	9564
224	2772	9548
225	2783	9534
226	2795	9519
227	2806	9503
228	2817	9487
229	2829	9473
230	2842	9462
231	2854	9448
232	2865	9434
233	2878	9424
234	2891	9413
235	2904	9403
236	2917	9391
237	2929	9380
238	2942	9370
239	2955	9357
240	2967	9345
241	2979	9333
242	2991	9320
243	3003	9306
244	3015	9291
245	3027	9278
246	3039	9264
247	3050	9250
248	3062	9236
249	3074	9222
250	3086	9210
251	3098	9196
252	3110	9184
253	3122	9171
254	3134	9156
255	3145	9141
256	3157	9128
257	3169	9115
258	3181	9102
259	3193	9090
260	3205	9076
261	3217	9063
262	3229	9050
263	3244	9045
264	3256	9032
265	3269	9021
266	3281	9007
267	3293	8994
268	3305	8981
269	3316	8967
270	3329	8956
271	3342	8945
272	3353	8931
273	3365	8918
274	3377	8905
275	3389	8891
276	3401	8877
277	3413	8864
278	3425	8852
279	3437	8839
280	3449	8825
281	3460	8811
282	3472	8798
283	3484	8785
284	3497	8773
285	3508	8760
286	3521	8747
287	3533	8734
288	3544	8721
289	3556	8706
290	3567	8692
291	3580	8680
292	3591	8666
293	3603	8653
294	3615	8640
295	3627	8626
296	3638	8613
297	3650	8599
298	3662	8586
299	3673	8572
300	3685	8558
301	3697	8544
302	3708	8531
303	3720	8517
304	3732	8505
305	3745	8495
306	3757	8482
307	3769	8469
308	3781	8455
309	3792	8441
310	3804	8428
311	3815	8414
312	3827	8400
